sample,column,depth (m),Y89(LR),Zr90(LR),Cd111(LR),In115(LR),La139(LR),Pb208(LR),Sc45(MR),Ti47(MR),V51(MR),Mn55(MR),Fe56(MR),Co59(MR),Ni60(MR),Cu63(MR),Zn66(MR),Ga69(MR)
St  1 22,6,47,129.7526167,62.87980598,0.00324438,3.244379911,16.64067493,38.20660232,4.335046914,44.25241229,27.07397942,0.650480069,0.674402778,10.87916344,2.263063419,0.581775595,7.814316441,34.84244492
St  1 23,7,23,126.0874937,52.68579619,0.002978453,2.978452573,19.36019528,29.07578482,2.829007263,30.29877412,25.92884555,0.63288208,0.242198757,16.80116234,2.167003332,0.603311814,1.331377178,32.31018439
St  1 24,8,10,127.7948378,56.46373579,0.000390687,0.390686593,15.29595042,25.91549722,3.637359714,37.2256546,27.435622,0.583017073,0.216243412,8.447406265,2.118654156,0.592381236,0.077568366,32.41902045
St  2 1,1,4996,172.0540184,206.8938194,0.374643718,374.6437183,36.74720973,18.80692609,23.38666848,152.0310712,27.90528041,0.115074118,0.530717792,14.738581,5.360224889,1.947971359,2.887789155,33.78658055
St  2 2,2,4948,168.7124464,210.9615638,0.370602635,370.6026352,35.77087241,19.2936936,23.57652786,136.6402457,28.46234953,0.129661299,0.518577618,14.97909445,5.441857582,1.996438394,3.153941601,34.38986969
St  2 3,3,4498,170.949517,205.9209367,0.376387351,376.3873509,35.94990513,21.38445694,24.64802635,153.6800722,28.22230465,0.114553658,0.57695733,15.38983768,5.338003919,1.999837014,2.901604846,34.00510252
St  2 4,4,3998,165.089074,212.0890934,0.369087858,369.0878583,33.9362826,21.17000474,23.42678029,145.9318062,27.70609677,0.139812386,0.529914388,16.36253745,5.421778576,1.841998178,2.819567782,38.27367952
St  2 5,5,3499,153.572919,217.8833184,0.351171999,351.1719987,30.19092722,22.97456151,23.96182864,203.0135241,28.53334305,0.145453695,0.653775408,20.34988351,5.254072644,1.70947455,2.920892544,37.96350813
St  2 6,6,3003,149.3876988,207.9242444,0.331250567,331.2505668,26.86816991,28.9842189,22.71382689,199.2045283,28.89362413,0.174704625,0.598897428,23.3252129,5.109846104,1.478999955,2.319350653,36.88320889
St  2 7,7,2499,144.0625914,187.5203552,0.297806747,297.8067472,24.27529796,37.53621109,22.49899907,210.6854624,28.7290018,0.203163451,0.726232456,31.23943007,4.679135016,1.176804355,2.155145557,37.13866543
